date_time,home_team,away_team,odd_home,odd_away,score_home,score_away,overtime
2015-03-17T04:30:00.000Z,Golden State Warriors,Los Angeles Lakers,-5000,1595,108,105,false
2015-03-17T04:00:00.000Z,Sacramento Kings,Atlanta Hawks,160,-189,103,110,false
2015-03-17T03:00:00.000Z,Utah Jazz,Charlotte Hornets,-179,152,94,66,false
2015-03-29T03:00:00.000Z,Utah Jazz,Oklahoma City Thunder,187,-227,94,89,false
2015-03-29T02:30:00.000Z,Milwaukee Bucks,Golden State Warriors,169,-200,95,108,false
2015-03-29T02:00:00.000Z,Chicago Bulls,New York Knicks,-5000,1576,111,80,false
2015-03-29T01:00:00.000Z,Charlotte Hornets,Atlanta Hawks,-238,202,115,100,false
2015-03-28T04:00:00.000Z,Phoenix Suns,Portland Trail Blazers,-101,-116,81,87,false
2015-03-21T02:00:00.000Z,Chicago Bulls,Toronto Raptors,-120,102,108,92,false
2015-03-21T02:00:00.000Z,Oklahoma City Thunder,Atlanta Hawks,-118,100,123,115,false
2015-03-21T01:30:00.000Z,Brooklyn Nets,Milwaukee Bucks,-133,112,129,127,true
2015-03-21T01:30:00.000Z,Cleveland Cavaliers,Indiana Pacers,-588,455,95,92,false
2015-03-21T01:30:00.000Z,Miami Heat,Denver Nuggets,-345,281,108,91,false
2015-03-21T01:00:00.000Z,Orlando Magic,Portland Trail Blazers,296,-370,111,104,false
2015-03-17T02:30:00.000Z,Dallas Mavericks,Oklahoma City Thunder,-244,200,119,115,false
2015-03-17T02:00:00.000Z,Memphis Grizzlies,Denver Nuggets,-1000,671,92,81,false
2015-03-17T02:00:00.000Z,Miami Heat,Cleveland Cavaliers,199,-238,106,92,false
2015-03-17T02:00:00.000Z,Minnesota Timberwolves,Brooklyn Nets,164,-196,106,122,false
2015-03-17T01:30:00.000Z,Boston Celtics,Philadelphia 76ers,-417,330,108,89,false
2015-03-17T01:00:00.000Z,Indiana Pacers,Toronto Raptors,-204,171,98,117,false
2015-03-28T03:00:00.000Z,Denver Nuggets,Utah Jazz,-132,112,107,91,false
2015-03-28T02:30:00.000Z,San Antonio Spurs,Dallas Mavericks,-417,329,94,76,false
2015-03-28T02:00:00.000Z,Houston Rockets,Minnesota Timberwolves,-1429,883,120,110,false
2015-03-28T02:00:00.000Z,Memphis Grizzlies,Golden State Warriors,134,-156,84,107,false
2015-03-28T02:00:00.000Z,New Orleans Pelicans,Sacramento Kings,-278,227,102,88,false
2015-03-28T01:30:00.000Z,Atlanta Hawks,Miami Heat,-385,303,99,86,false
2015-03-21T01:00:00.000Z,Philadelphia 76ers,New York Knicks,-244,200,97,81,false
2015-03-20T04:30:00.000Z,Los Angeles Lakers,Utah Jazz,159,-189,73,80,false
2015-03-20T04:00:00.000Z,Phoenix Suns,New Orleans Pelicans,-149,127,74,72,false
2015-03-20T02:00:00.000Z,Houston Rockets,Denver Nuggets,-312,250,118,108,false
2015-03-20T01:30:00.000Z,New York Knicks,Minnesota Timberwolves,-128,108,92,95,true
2015-03-17T01:00:00.000Z,Washington Wizards,Portland Trail Blazers,-115,-103,105,97,false
2015-03-16T03:30:00.000Z,Los Angeles Lakers,Atlanta Hawks,229,-278,86,91,false
2015-03-16T03:00:00.000Z,Phoenix Suns,New York Knicks,-833,572,102,89,false
2015-03-16T01:00:00.000Z,San Antonio Spurs,Minnesota Timberwolves,-1429,919,123,97,false
2015-03-16T01:00:00.000Z,Toronto Raptors,Portland Trail Blazers,-120,102,97,113,false
2015-03-28T01:30:00.000Z,Brooklyn Nets,Cleveland Cavaliers,341,-435,106,98,false
2015-03-28T01:30:00.000Z,New York Knicks,Boston Celtics,504,-714,92,96,false
2015-03-28T01:30:00.000Z,Toronto Raptors,Los Angeles Lakers,-385,305,94,83,false
2015-03-28T01:00:00.000Z,Orlando Magic,Detroit Pistons,120,-141,97,111,false
2015-03-28T01:00:00.000Z,Philadelphia 76ers,Los Angeles Clippers,642,-909,98,119,false
2015-03-28T01:00:00.000Z,Washington Wizards,Charlotte Hornets,-189,160,110,107,true
2015-03-19T04:30:00.000Z,Golden State Warriors,Atlanta Hawks,-294,239,114,95,false
2015-03-19T04:30:00.000Z,Utah Jazz,Washington Wizards,-152,129,84,88,false
2015-03-19T04:00:00.000Z,Sacramento Kings,Los Angeles Clippers,350,-455,105,116,false
2015-03-16T00:00:00.000Z,New Orleans Pelicans,Denver Nuggets,-345,277,111,118,true
2015-03-16T00:00:00.000Z,Orlando Magic,Cleveland Cavaliers,448,-625,108,123,false
2015-03-15T21:30:00.000Z,Los Angeles Clippers,Houston Rockets,-196,167,98,100,false
2015-03-15T19:00:00.000Z,Oklahoma City Thunder,Chicago Bulls,-312,259,109,100,false
2015-03-15T04:30:00.000Z,Golden State Warriors,New York Knicks,-5000,1672,125,94,false
2015-03-27T02:00:00.000Z,Milwaukee Bucks,Indiana Pacers,-167,145,111,107,false
2015-03-26T04:00:00.000Z,Phoenix Suns,Sacramento Kings,-385,309,99,108,false
2015-03-26T03:30:00.000Z,San Antonio Spurs,Oklahoma City Thunder,-333,271,130,91,false
2015-03-26T03:00:00.000Z,Denver Nuggets,Philadelphia 76ers,-833,569,85,99,false
2015-03-26T03:00:00.000Z,Utah Jazz,Portland Trail Blazers,-125,104,89,92,false
2015-03-26T02:00:00.000Z,Memphis Grizzlies,Cleveland Cavaliers,-104,-112,89,111,false
2015-03-15T03:00:00.000Z,Utah Jazz,Detroit Pistons,-370,296,88,85,false
2015-03-15T02:00:00.000Z,Memphis Grizzlies,Milwaukee Bucks,-278,229,96,83,false
2015-03-15T01:30:00.000Z,Philadelphia 76ers,Brooklyn Nets,227,-278,87,94,false
2015-03-15T01:00:00.000Z,Indiana Pacers,Boston Celtics,-400,321,89,93,false
2015-03-15T01:00:00.000Z,Washington Wizards,Sacramento Kings,-588,438,113,97,false
2015-03-26T02:00:00.000Z,Minnesota Timberwolves,Los Angeles Lakers,-118,-101,99,101,true
2015-03-26T02:00:00.000Z,New Orleans Pelicans,Houston Rockets,-111,-106,93,95,false
2015-03-26T01:30:00.000Z,Boston Celtics,Miami Heat,-370,301,86,93,false
2015-03-26T01:00:00.000Z,Charlotte Hornets,Brooklyn Nets,-156,134,88,91,false
2015-03-26T01:00:00.000Z,Orlando Magic,Atlanta Hawks,350,-455,83,95,false
2015-03-14T04:00:00.000Z,Phoenix Suns,Atlanta Hawks,219,-263,87,96,false
2015-03-14T04:00:00.000Z,Portland Trail Blazers,Detroit Pistons,-370,295,118,99,false
2015-03-14T03:00:00.000Z,Denver Nuggets,Golden State Warriors,-147,125,114,103,false
2015-03-14T02:30:00.000Z,Dallas Mavericks,Los Angeles Clippers,-139,119,129,99,false
2015-03-14T02:00:00.000Z,Oklahoma City Thunder,Minnesota Timberwolves,-588,445,113,99,false
2015-03-14T01:30:00.000Z,Boston Celtics,Orlando Magic,-213,177,95,88,false
2015-03-14T01:30:00.000Z,Toronto Raptors,Miami Heat,-208,175,102,92,false
2015-03-14T01:00:00.000Z,Charlotte Hornets,Chicago Bulls,-112,-105,101,91,false
2015-03-14T01:00:00.000Z,Philadelphia 76ers,Sacramento Kings,154,-185,114,107,false
2015-03-13T04:30:00.000Z,Los Angeles Lakers,New York Knicks,-278,231,94,101,false
2015-03-13T03:30:00.000Z,San Antonio Spurs,Cleveland Cavaliers,100,-118,125,128,true
2015-03-13T03:00:00.000Z,Utah Jazz,Houston Rockets,118,-139,109,91,false
2015-03-13T01:00:00.000Z,Indiana Pacers,Milwaukee Bucks,-303,246,109,103,true
2015-04-14T04:00:00.000Z,Sacramento Kings,Los Angeles Lakers,1.61,2.39,102,92,false
2015-04-14T03:00:00.000Z,Utah Jazz,Dallas Mavericks,1.38,3.17,109,92,false
2015-04-14T02:00:00.000Z,Minnesota Timberwolves,New Orleans Pelicans,10.9,1.06,88,100,false
2015-04-14T02:00:00.000Z,Oklahoma City Thunder,Portland Trail Blazers,1.26,4.05,101,90,false
2015-04-15T01:30:00.000Z,Atlanta Hawks,New York Knicks,1.05,11.84,108,112,false
2015-04-15T01:30:00.000Z,Brooklyn Nets,Chicago Bulls,2.1,1.77,86,113,false
2015-04-15T01:30:00.000Z,Miami Heat,Orlando Magic,1.41,3.01,100,93,false
2015-04-15T01:00:00.000Z,Charlotte Hornets,Houston Rockets,6.46,1.13,90,100,false
2015-04-15T01:00:00.000Z,Cleveland Cavaliers,Detroit Pistons,1.28,3.88,109,97,false
2015-04-15T01:00:00.000Z,Philadelphia 76ers,Milwaukee Bucks,2.4,1.61,97,107,false
2015-04-13T03:30:00.000Z,Los Angeles Lakers,Dallas Mavericks,2.86,1.44,106,120,false
2015-04-14T01:00:00.000Z,Houston Rockets,New Orleans Pelicans,1.46,2.8,121,114,false
2015-04-14T01:00:00.000Z,San Antonio Spurs,Phoenix Suns,1.03,15.76,107,91,false
2015-04-13T00:00:00.000Z,Indiana Pacers,Oklahoma City Thunder,1.66,2.28,116,104,false
2015-04-13T00:00:00.000Z,Washington Wizards,Atlanta Hawks,1.21,4.61,108,99,false
2015-04-12T23:00:00.000Z,Denver Nuggets,Sacramento Kings,1.22,4.56,122,111,false
2015-04-12T21:30:00.000Z,Detroit Pistons,Charlotte Hornets,1.26,3.97,116,77,false
2015-04-12T21:00:00.000Z,Boston Celtics,Cleveland Cavaliers,1.17,5.4,117,78,false
2015-04-12T21:00:00.000Z,Milwaukee Bucks,Brooklyn Nets,1.87,1.98,96,73,false
2015-04-12T04:30:00.000Z,Golden State Warriors,Minnesota Timberwolves,1.02,17.67,110,101,false
2015-04-12T04:00:00.000Z,Los Angeles Clippers,Memphis Grizzlies,1.2,4.83,94,86,false
2015-04-12T04:00:00.000Z,Portland Trail Blazers,Utah Jazz,1.19,5.1,105,111,false
2015-04-12T02:00:00.000Z,Chicago Bulls,Philadelphia 76ers,1.03,14.67,114,107,false
2015-04-13T01:30:00.000Z,Miami Heat,Toronto Raptors,1.62,2.36,104,107,false
2015-04-13T01:00:00.000Z,Orlando Magic,New York Knicks,1.13,6.42,79,80,false
2015-04-11T04:30:00.000Z,Los Angeles Lakers,Minnesota Timberwolves,1.46,2.8,106,98,false
2015-04-11T03:00:00.000Z,Denver Nuggets,Dallas Mavericks,1.82,2.03,143,144,true
2015-04-11T03:00:00.000Z,Utah Jazz,Memphis Grizzlies,2.28,1.66,88,89,false
2015-04-11T02:00:00.000Z,Houston Rockets,San Antonio Spurs,2.4,1.61,103,104,false
2015-04-11T02:00:00.000Z,New Orleans Pelicans,Phoenix Suns,1.23,4.44,90,75,false
2015-04-11T02:00:00.000Z,Oklahoma City Thunder,Sacramento Kings,1.07,9.95,116,103,false
2015-04-12T01:30:00.000Z,Atlanta Hawks,Charlotte Hornets,1.18,5.27,104,80,false
2015-04-12T01:30:00.000Z,Brooklyn Nets,Washington Wizards,1.48,2.72,117,80,false
2015-04-12T01:30:00.000Z,Cleveland Cavaliers,Boston Celtics,1.37,3.21,90,99,false
2015-04-12T01:30:00.000Z,Detroit Pistons,Indiana Pacers,2.85,1.45,103,107,false
2015-04-12T01:30:00.000Z,New York Knicks,Milwaukee Bucks,6.23,1.13,91,99,false
2015-04-12T01:00:00.000Z,Orlando Magic,Toronto Raptors,2.86,1.44,99,101,false
2015-04-10T04:30:00.000Z,Golden State Warriors,Portland Trail Blazers,1.16,5.67,116,105,false
2015-04-10T02:00:00.000Z,Miami Heat,Chicago Bulls,1.79,2.08,78,89,false
2015-04-09T04:00:00.000Z,Portland Trail Blazers,Minnesota Timberwolves,1.02,16.19,116,91,false
2015-04-09T03:30:00.000Z,Dallas Mavericks,Phoenix Suns,1.25,4.21,107,104,false
